id,word,type,label
0,@paulwalk,O,20
1,It,O,20
2,'s,O,20
3,the,O,20
4,view,O,20
5,from,O,20
6,where,O,20
7,I,O,20
8,'m,O,20
9,living,O,20
10,for,O,20
11,two,O,20
12,weeks,O,20
13,.,O,20
14,Empire,B-facility,1
15,State,I-facility,11
16,Building,I-facility,11
17,=,O,20
18,ESB,B-facility,1
19,.,O,20
20,Pretty,O,20
21,bad,O,20
22,storm,O,20
23,here,O,20
24,last,O,20
25,evening,O,20
26,.,O,20

27,From,O,20
28,Green,O,20
29,Newsfeed,O,20
30,:,O,20
31,AHFA,B-other,5
32,extends,O,20
33,deadline,O,20
34,for,O,20
35,Sage,B-other,5
36,Award,I-other,15
37,to,O,20
38,Nov,O,20
39,.,O,20
40,5,O,20
41,http://tinyurl.com/24agj38,O,20

42,Pxleyes,B-company,0
43,Top,O,20
44,50,O,20
45,Photography,O,20
46,Contest,O,20
47,Pictures,O,20
48,of,O,20
49,August,O,20
50,2010,O,20
51,...,O,20
52,http://bit.ly/bgCyZ0,O,20
53,#photography,O,20

54,today,O,20
55,is,O,20
56,my,O,20
57,last,O,20
58,day,O,20
59,at,O,20
60,the,O,20
61,office,O,20
62,.,O,20

63,4Dbling,B-person,6
64,'s,O,20
65,place,O,20
66,til,O,20
67,monday,O,20
68,",",O,20
69,party,O,20
70,party,O,20
71,party,O,20
72,.,O,20
73,&lt;,O,20
74,3,O,20

75,watching,O,20
76,the,O,20
77,VMA,B-tvshow,9
78,pre-show,O,20
79,again,O,20
80,lol,O,20
81,it,O,20
82,was,O,20
83,n't,O,20
84,even,O,20
85,a,O,20
86,good,O,20
87,show,O,20
88,the,O,20
89,first,O,20
90,time,O,20
91,...,O,20
92,so,O,20
93,bored,O,20
94,!,O,20

95,27,O,20
96,followers,O,20
97,!,O,20
98,30,O,20
99,followers,O,20
100,is,O,20
101,my,O,20
102,goal,O,20
103,for,O,20
104,today,O,20
105,!,O,20

106,This,O,20
107,is,O,20
108,the,O,20
109,2nd,O,20
110,hospital,O,20
111,ive,O,20
112,been,O,20
113,in,O,20
114,today,O,20
115,",",O,20
116,but,O,20
117,ive,O,20
118,just,O,20
119,seen,O,20
120,a,O,20
121,doctor,O,20
122,who,O,20
123,was,O,20
124,an,O,20
125,older,O,20
126,version,O,20
127,of,O,20
128,justin,O,20
129,:',O,20
130,),O,20

131,Friday,O,20
132,Night,O,20
133,Eats,O,20
134,http://twitpic.com/2pdvtr,O,20

135,Gotta,O,20
136,dress,O,20
137,up,O,20
138,for,O,20
139,london,B-other,5
140,fashion,I-other,15
141,week,I-other,15
142,and,O,20
143,party,O,20
144,in,O,20
145,style,O,20
146,!,O,20

147,@Suzie55,O,20
148,whispering,O,20
149,cause,O,20
150,I,O,20
151,may,O,20
152,have,O,20
153,had,O,20
154,1,O,20
155,too,O,20
156,many,O,20
157,vodka,O,20
158,'s,O,20
159,last,O,20
160,night,O,20
161,and,O,20
162,am,O,20
163,a,O,20
164,lil,O,20
165,fragile,O,20
166,",",O,20
167,hold,O,20
168,me,O,20
169,?,O,20

170,#NFL,O,20
171,Week,O,20
172,2,O,20
173,picks,O,20
174,blog,O,20
175,is,O,20
176,up,O,20
177,on,O,20
178,@The_Score,O,20
179,website,O,20
180,...,O,20
181,http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/,O,20

182,I,O,20
183,like,O,20
184,@SouljaBoy,O,20
185,songs,O,20
186,after,O,20
187,a,O,20
188,few,O,20
189,drinks,O,20

190,...,O,20
191,asked,O,20
192,me,O,20
193,a,O,20
194,question,O,20
195,for,O,20
196,once,O,20
197,",",O,20
198,but,O,20
199,no,O,20
200,!,O,20
201,You,O,20
202,ask,O,20
203,me,O,20
204,about,O,20
205,fucking,O,20
206,donuts,O,20
207,you,O,20
208,donut,O,20
209,...,O,20
210,have,O,20
211,a,O,20
212,nice,O,20
213,day,O,20
214,:P,O,20

215,every,O,20
216,year,O,20
217,your,O,20
218,"""",O,20
219,bestfriend,O,20
220,"""",O,20
221,get,O,20
222,yo,O,20
223,ass,O,20
224,in,O,20
225,trouble,O,20
226,smdh,O,20
227,#doinme,O,20

228,RT,O,20
229,@midgetmegs,O,20
230,:,O,20
231,hate,O,20
232,people,O,20
233,who,O,20
234,write,O,20
235,drunk,O,20
236,status'.,O,20
237,must,O,20
238,be,O,20
239,having,O,20
240,a,O,20
241,great,O,20
242,time,O,20
243,if,O,20
244,your,O,20
245,sat,O,20
246,writing,O,20
247,it,O,20
248,on,O,20
249,facebook,B-company,0
250,.....,O,20

251,@MrzEndy,O,20
252,tru,O,20
253,tru,O,20
254,I,O,20
255,'m,O,20
256,leavin,O,20
257,again,O,20
258,on,O,20
259,Tuesday,O,20
260,yo,O,20

261,The,O,20
262,guys,O,20
263,are,O,20
264,cooking,O,20
265,about,O,20
266,a,O,20
267,dozen,O,20
268,pizzas,O,20
269,at,O,20
270,our,O,20
271,house,O,20
272,for,O,20
273,the,O,20
274,tailgate,O,20
275,tonight,O,20
276,.,O,20
277,Nonetheless,O,20
278,it,O,20
279,smells,O,20
280,fresh,O,20
281,in,O,20
282,this,O,20
283,place,O,20
284,.,O,20

285,I,O,20
286,heart,O,20
287,Park(ing,B-other,5
288,),I-other,15
289,Day,I-other,15
290,!,O,20
291,Photo,O,20
292,of,O,20
293,meter,O,20
294,shark,O,20
295,:,O,20
296,http://bit.ly/aQun1b,O,20

297,hows,O,20
298,everyones,O,20
299,day,O,20
300,goin,O,20
301,?,O,20

302,@Phoebe1_,O,20
303,and,O,20
304,i,O,20
305,also,O,20
306,loved,O,20
307,the,O,20
308,last,O,20
309,years,O,20
310,eurovision,B-tvshow,9
311,entry,O,20
312,!!,O,20
313,hoppaa,O,20
314,!,O,20
315,they,O,20
316,were,O,20
317,cool,O,20
318,too,O,20
319,!!,O,20

320,MetroPCS,B-company,0
321,has,O,20
322,the,O,20
323,worst,O,20
324,customer,O,20
325,service,O,20
326,I,O,20
327,'ve,O,20
328,experienced,O,20
329,in,O,20
330,months,O,20
331,(,O,20
332,trying,O,20
333,to,O,20
334,help,O,20
335,someone,O,20
336,order,O,20
337,a,O,20
338,phone,O,20
339,),O,20
340,#metropcs,O,20
341,#fail,O,20

342,@xSophieBx,O,20
343,He,O,20
344,has,O,20
345,a,O,20
346,habit,O,20
347,of,O,20
348,tweeting,O,20
349,at,O,20
350,the,O,20
351,same,O,20
352,time,O,20
353,as,O,20
354,you,O,20
355,lol,O,20

356,A,O,20
357,TRUE,O,20
358,friend,O,20
359,walks,O,20
360,in,O,20
361,when,O,20
362,everybody,O,20
363,else,O,20
364,walks,O,20
365,out,O,20
366,!,O,20

367,Yay,O,20
368,.,O,20
369,@penguin,O,20
370,is,O,20
371,coming,O,20
372,to,O,20
373,see,O,20
374,me,O,20
375,next,O,20
376,week,O,20
377,...,O,20
378,plotting,O,20
379,my,O,20
380,cooking,O,20
381,now,O,20
382,!,O,20

383,@_mistercory,O,20
384,*Smiles,O,20
385,up,O,20
386,at,O,20
387,him*,O,20
388,Can,O,20
389,we,O,20
390,just,O,20
391,...,O,20
392,sit,O,20
393,together,O,20
394,for,O,20
395,a,O,20
396,while,O,20
397,before,O,20
398,round,O,20
399,two,O,20
400,?,O,20

401,the,O,20
402,tears,O,20
403,may,O,20
404,have,O,20
405,been,O,20
406,and,O,20
407,gone,O,20
408,",",O,20
409,but,O,20
410,the,O,20
411,feeling,O,20
412,still,O,20
413,stay,O,20
414,the,O,20
415,same,O,20
416,.,O,20

417,@BieberEgypt,O,20
418,I,O,20
419,'ve,O,20
420,got,O,20
421,some,O,20
422,bad,O,20
423,news,O,20
424,",",O,20
425,Yeah,O,20
426,I,O,20
427,cant,O,20
428,come,O,20
429,to,O,20
430,the,O,20
431,meeting,O,20
432,tomorrow,O,20
433,.,O,20
434,:,O,20
435,S,O,20

436,@abzmedic,O,20
437,I,O,20
438,'m,O,20
439,missing,O,20
440,autumn,O,20
441,because,O,20
442,of,O,20
443,work,O,20
444,.,O,20
445,:(,O,20
446,I,O,20
447,must,O,20
448,get,O,20
449,into,O,20
450,the,O,20
451,forests,O,20
452,tomorrow,O,20
453,!,O,20

454,Fellas,O,20
455,Do,O,20
456,n't,O,20
457,just,O,20
458,lick,O,20
459,the,O,20
460,PussyY,O,20
461,",",O,20
462,LOVE,O,20
463,IT,O,20
464,!,O,20
465,enjoy,O,20
466,it,O,20
467,.,O,20
468,like,O,20
469,u,O,20
470,just,O,20
471,got,O,20
472,married,O,20
473,&lt;,O,20
474,the,O,20
475,preacher,O,20
476,said,O,20
477,u,O,20
478,may,O,20
479,kiss,O,20
480,the,O,20
481,bride,O,20

482,RT,O,20
483,@Sexstrology,O,20
484,:,O,20
485,Pisces,B-other,5
486,tend,O,20
487,to,O,20
488,escape,O,20
489,into,O,20
490,fantasy,O,20
491,and,O,20
492,day,O,20
493,dreams,O,20
494,.,O,20
495,There,O,20
496,they,O,20
497,are,O,20
498,free,O,20
499,.,O,20

500,Cant,O,20
501,wait,O,20
502,for,O,20
503,the,O,20
504,ravens,B-sportsteam,8
505,game,O,20
506,tomorrow,O,20
507,....,O,20
508,go,O,20
509,ray,B-person,6
510,rice,I-person,16
511,!!!!!!!,O,20

512,I,O,20
513,just,O,20
514,took,O,20
515,"""",O,20
516,When,O,20
517,your,O,20
518,mom,O,20
519,makes,O,20
520,you,O,20
521,go,O,20
522,live,O,20
523,with,O,20
524,your,O,20
525,dad,O,20
526,Scooter,B-person,6
527,Braun,I-person,16
528,",",O,20
529,your,O,20
530,life,O,20
531,"...""",O,20
532,and,O,20
533,got,O,20
534,:,O,20
535,Part,O,20
536,7,O,20
537,!,O,20
538,Try,O,20
539,it,O,20
540,:,O,20
541,http://tinyurl.com/27r2pdz,O,20

542,I,O,20
